name,slug,value,date_of_information,ranking,region
"Syria","syria","$2,900","2021",197,"Middle East"
"Ethiopia","ethiopia","$2,800","2023",198,"Africa"
"Sudan","sudan","$2,800","2023",199,"Africa"
"Uganda","uganda","$2,800","2023",200,"Africa"
"Togo","togo","$2,800","2023",201,"Africa"
"Solomon Islands","solomon-islands","$2,700","2023",202,"Australia and Oceania"
"Lesotho","lesotho","$2,500","2023",203,"Africa"
"Yemen","yemen","$2,500","2017",204,"Middle East"
"Burkina Faso","burkina-faso","$2,500","2023",205,"Africa"
"Mali","mali","$2,500","2023",206,"Africa"
"Guinea-Bissau","guinea-bissau","$2,400","2023",207,"Africa"
"Afghanistan","afghanistan","$2,000","2022",208,"South Asia"
"Chad","chad","$1,800","2023",209,"Africa"
"Malawi","malawi","$1,700","2023",210,"Africa"
"Korea, North","korea-north","$1,700","2015",211,"East and Southeast Asia"
"Madagascar","madagascar","$1,700","2023",212,"Africa"
"Sierra Leone","sierra-leone","$1,700","2023",213,"Africa"
"Liberia","liberia","$1,600","2023",214,"Africa"
"South Sudan","south-sudan","$1,600","2017",215,"Africa"
"Eritrea","eritrea","$1,600","2017",216,"Africa"
"Niger","niger","$1,600","2023",217,"Africa"
"Mozambique","mozambique","$1,500","2023",218,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$1,500","2023",219,"Africa"
"Somalia","somalia","$1,500","2023",220,"Africa"
"Central African Republic","central-african-republic","$1,000","2023",221,"Africa"
"Burundi","burundi","$900","2023",222,"Africa"
